scenario_id,run_id,run,seed,cache_key,cache_hit,randomized_params,x0_hash,before,after,delta,duration,method_cl_total_before,method_cl_total_after,method_q_total_before,method_q_total_after,I_cl,I_q,delta_R,before_vec_q,after_vec_q,delta_vec_q,before_vec_cl,after_vec_cl,delta_vec_cl,theta_classical,delta_sector_threshold,theta_node,peak_after_q,final_after_recovery_q,recovery_trajectory_q,cl_activated_sectors,cl_first_activation_step,matrix_version,theta_bin,theta_cascade
S3_transport_load,1,1,8890827646628305625,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=1|seed=8890827646628305625,False,"{""step_1_amount"": 0.1850504227730522}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.6511536608081637,0.20448699414149696,21,0.0,0.0,0.44666666666666677,0.6511536608081637,0,1,0.20448699414149696,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7944710380051023, ""water"": 0.3518695808922905, ""transport"": 0.7593479044614522}","{""energy"": 0.12780437133843559, ""water"": 0.08520291422562376, ""transport"": 0.4260145711281188}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.6511536608081637,,,[],,v1.0,0.7,0.3
S3_transport_load,2,2,15064064706037321761,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=2|seed=15064064706037321761,False,"{""step_1_amount"": 0.4577901746408006}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7810813196649016,0.3344146529982348,21,0.0,1.0,0.44666666666666677,0.7810813196649016,1,1,0.3344146529982348,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8906910883303916, ""water"": 0.41601628110915, ""transport"": 1.0}","{""energy"": 0.22402442166372483, ""water"": 0.1493496144424833, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.7810813196649016,,,"[""energy"", ""water""]",1,v1.0,0.7,0.3
S3_transport_load,3,3,5736000442184912993,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=3|seed=5736000442184912993,False,"{""step_1_amount"": 0.7197258250225557}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.8058910634465257,0.35922439677985896,8,0.0,1.0,0.44666666666666677,0.8058910634465257,1,1,0.35922439677985896,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.9320406612997651, ""water"": 0.4435826630887324, ""transport"": 1.0}","{""energy"": 0.2653739946330984, ""water"": 0.17691599642206568, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.8058910634465257,,,"[""energy"", ""water""]",1,v1.0,0.7,0.3
S3_transport_load,4,4,7352399632207347592,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=4|seed=7352399632207347592,False,"{""step_1_amount"": 0.3393907177126014}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7532644321176265,0.30659776545095974,17,0.0,0.0,0.44666666666666677,0.7532644321176265,0,1,0.30659776545095974,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8582902700735165, ""water"": 0.39441573560456666, ""transport"": 0.9720786780228329}","{""energy"": 0.1916236034068498, ""water"": 0.12774906893789995, ""transport"": 0.6387453446894995}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.7532644321176265,,,[],,v1.0,0.7,0.3
S3_transport_load,5,5,16687246383841892249,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=5|seed=16687246383841892249,False,"{""step_1_amount"": 0.3093331727339108}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7369016436439626,0.29023497697729583,20,0.0,0.0,0.44666666666666677,0.7369016436439626,0,1,0.29023497697729583,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8480635272774767, ""water"": 0.3875979070738733, ""transport"": 0.9379895353693665}","{""energy"": 0.18139686061080995, ""water"": 0.1209312404072066, ""transport"": 0.6046562020360331}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.7369016436439626,,,[],,v1.0,0.7,0.3
S3_transport_load,6,6,5722309517077894813,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=6|seed=5722309517077894813,False,"{""step_1_amount"": 0.24524176972835038}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.6966709248661234,0.2500042581994566,16,0.0,0.0,0.44666666666666677,0.6966709248661234,0,1,0.2500042581994566,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8229193280413271, ""water"": 0.37083510758310695, ""transport"": 0.8541755379155346}","{""energy"": 0.15625266137466032, ""water"": 0.10416844091644023, ""transport"": 0.5208422045822012}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.6966709248661234,,,[],,v1.0,0.7,0.3
S3_transport_load,7,7,14093114895253656616,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=7|seed=14093114895253656616,False,"{""step_1_amount"": 0.3390652489539429}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7530950384024879,0.30642837173582116,15,0.0,0.0,0.44666666666666677,0.7530950384024879,0,1,0.30642837173582116,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.858184399001555, ""water"": 0.3943451548899255, ""transport"": 0.9717257744496274}","{""energy"": 0.19151773233488822, ""water"": 0.12767848822325878, ""transport"": 0.638392441116294}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.7530950384024879,,,[],,v1.0,0.7,0.3
S3_transport_load,8,8,7099181496046430618,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=8|seed=7099181496046430618,False,"{""step_1_amount"": 0.5402587659418996}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.8578532526119311,0.41118658594526436,16,0.0,1.0,0.44666666666666677,0.8578532526119311,1,1,0.41118658594526436,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.9649189908529354, ""water"": 0.57295218756919, ""transport"": 1.0}","{""energy"": 0.2982523241862687, ""water"": 0.30628552090252326, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.8578532526119311,,,"[""energy"", ""water""]",1,v1.0,0.7,0.3
S3_transport_load,9,9,16933441105734861115,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=9|seed=16933441105734861115,False,"{""step_1_amount"": 0.2478216213057091}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.6984441187806689,0.25177745211400215,8,0.0,0.0,0.44666666666666677,0.6984441187806689,0,1,0.25177745211400215,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8240275742379181, ""water"": 0.3715739383808343, ""transport"": 0.8578696919041712}","{""energy"": 0.15736090757125132, ""water"": 0.10490727171416758, ""transport"": 0.5245363585708378}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.6984441187806689,,,[],,v1.0,0.7,0.3
S3_transport_load,10,10,13585426720487505899,scenario=S3_transport_load|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=10|seed=13585426720487505899,False,"{""step_1_amount"": 0.4069388096020632}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7735686050976387,0.32690193843097193,11,0.0,1.0,0.44666666666666677,0.7735686050976387,1,1,0.32690193843097193,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8781698973849534, ""water"": 0.40766882047885783, ""transport"": 1.0}","{""energy"": 0.2115032307182867, ""water"": 0.1410021538121911, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.7735686050976387,,,"[""energy"", ""water""]",1,v1.0,0.7,0.3
